volume_id,site_id,title,century,production_year_est,support_material,ink_type,binding_type,cover_type,language,format,restoration_recent,observed_condition_score,digitised,source_catalogue,licence,site_name,site_type,country,city,latitude,longitude,climate_zone,collection_size_volumes,avg_temperature_c,avg_relative_humidity_pct,avg_light_lux,air_quality_index,flood_event,hvac_failure_event,monitoring_months,environmental_stress,material_stress,age_stress,event_stress,conservation_risk_index,risk_level,high_risk
V0001,S06,Manuscript or printed volume 0001,15,1471,mixed,printing_ink,wood_boards,wood,German,folio,False,3,False,ICCU,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.7375,0.71875,0.25,42.59,Moderate,0
V0002,S08,Manuscript or printed volume 0002,17,1636,mixed,carbon,wood_boards,none,English,quarto,False,2,False,BNF,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.7625000000000001,0.46875,0.25,38.08,Moderate,0
V0003,S03,Manuscript or printed volume 0003,19,1854,mixed,printing_ink,leather,leather,English,octavo,False,3,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.7,0.21875,0.0,30.05,Low,0
V0004,S03,Manuscript or printed volume 0004,15,1495,laid_paper,iron_gall,wood_boards,paper,English,scroll,False,2,False,ICCU,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.8125,0.71875,0.0,45.92,Moderate,0
V0005,S06,Manuscript or printed volume 0005,15,1463,mixed,pigment,leather,leather,English,folio,False,3,True,BNF,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.75,0.71875,0.25,42.97,Moderate,0
V0006,S05,Manuscript or printed volume 0006,17,1677,industrial_paper,carbon,vellum,paper,English,octavo,False,4,False,ICCU,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.55,0.46875,0.0,28.22,Low,0
V0007,S06,Manuscript or printed volume 0007,17,1697,laid_paper,carbon,leather,vellum,Italian,quarto,True,3,False,Europeana,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.675,0.46875,0.4,35.97,Moderate,0
V0008,S01,Manuscript or printed volume 0008,14,1323,parchment,carbon,vellum,paper,French,quarto,False,3,True,British Library,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.825,0.84375,0.0,46.05,Moderate,0
V0009,S01,Manuscript or printed volume 0009,13,1249,laid_paper,carbon,wood_boards,wood,French,quarto,False,3,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.7125,0.96875,0.0,45.8,Moderate,0
V0010,S05,Manuscript or printed volume 0010,15,1429,parchment,iron_gall,none,paper,Italian,scroll,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.825,0.71875,0.0,42.72,Moderate,0
V0011,S06,Manuscript or printed volume 0011,16,1571,laid_paper,iron_gall,none,vellum,English,octavo,False,1,True,ICCU,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.7,0.59375,0.25,38.34,Moderate,0
V0012,S06,Manuscript or printed volume 0012,17,1684,laid_paper,printing_ink,vellum,wood,French,scroll,False,1,False,Europeana,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.675,0.46875,0.25,34.47,Low,0
V0013,S03,Manuscript or printed volume 0013,13,1244,parchment,carbon,wood_boards,vellum,German,octavo,False,2,True,Europeana,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.8375,0.96875,0.0,52.92,Moderate,0
V0014,S04,Manuscript or printed volume 0014,18,1794,laid_paper,printing_ink,paper_boards,paper,French,scroll,False,1,True,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.6125,0.34375,0.0,26.97,Low,0
V0015,S04,Manuscript or printed volume 0015,15,1431,parchment,pigment,paper_boards,leather,German,octavo,False,2,True,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.7875000000000001,0.71875,0.0,41.59,Moderate,0
V0016,S06,Manuscript or printed volume 0016,18,1765,laid_paper,pigment,leather,paper,French,quarto,True,2,False,British Library,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.7,0.34375,0.4,33.59,Low,0
V0017,S03,Manuscript or printed volume 0017,19,1852,laid_paper,printing_ink,leather,leather,Italian,quarto,False,3,False,Europeana,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.6499999999999999,0.21875,0.0,28.55,Low,0
V0018,S06,Manuscript or printed volume 0018,19,1888,mixed,printing_ink,leather,paper,French,scroll,False,2,False,Europeana,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.7,0.21875,0.25,28.97,Low,0
V0019,S03,Manuscript or printed volume 0019,19,1836,laid_paper,iron_gall,paper_boards,paper,English,scroll,False,2,True,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.7375,0.21875,0.0,31.17,Low,0
V0020,S06,Manuscript or printed volume 0020,19,1830,industrial_paper,iron_gall,wood_boards,leather,English,scroll,False,2,False,Europeana,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.6625,0.21875,0.25,27.84,Low,0
V0021,S06,Manuscript or printed volume 0021,16,1542,parchment,pigment,paper_boards,leather,German,scroll,False,3,False,British Library,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.7875000000000001,0.59375,0.25,40.97,Moderate,0
V0022,S04,Manuscript or printed volume 0022,17,1629,mixed,iron_gall,none,leather,German,scroll,True,3,True,Europeana,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.75,0.46875,0.15,35.72,Moderate,0
V0023,S03,Manuscript or printed volume 0023,19,1883,industrial_paper,pigment,paper_boards,leather,German,folio,False,2,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.5125,0.21875,0.0,24.42,Low,0
V0024,S02,Manuscript or printed volume 0024,16,1578,laid_paper,pigment,vellum,leather,German,scroll,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.7250000000000001,0.59375,0.25,39.09,Moderate,0
V0025,S02,Manuscript or printed volume 0025,14,1335,laid_paper,pigment,wood_boards,leather,Italian,scroll,True,3,True,British Library,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.7375,0.84375,0.4,47.22,Moderate,0
V0026,S08,Manuscript or printed volume 0026,13,1214,parchment,iron_gall,wood_boards,leather,Italian,scroll,True,3,False,Europeana,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.9375,0.96875,0.4,57.33,High,1
V0027,S06,Manuscript or printed volume 0027,15,1448,laid_paper,carbon,paper_boards,leather,Greek,folio,False,3,True,BNF,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.6375,0.71875,0.25,39.59,Moderate,0
V0028,S03,Manuscript or printed volume 0028,12,1156,parchment,carbon,wood_boards,paper,Greek,octavo,False,3,False,Europeana,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.8375,1.0,0.0,53.7,Moderate,0
V0029,S08,Manuscript or printed volume 0029,19,1881,industrial_paper,printing_ink,paper_boards,paper,Italian,octavo,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.4625,0.21875,0.25,22.83,Low,0
V0030,S03,Manuscript or printed volume 0030,17,1645,laid_paper,iron_gall,leather,vellum,French,octavo,False,4,True,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.7749999999999999,0.46875,0.0,38.55,Moderate,0
V0031,S03,Manuscript or printed volume 0031,17,1645,laid_paper,pigment,none,paper,Greek,scroll,False,3,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.625,0.46875,0.0,34.05,Low,0
V0032,S04,Manuscript or printed volume 0032,17,1679,laid_paper,printing_ink,wood_boards,none,German,octavo,False,2,False,Europeana,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.6875,0.46875,0.0,32.34,Low,0
V0033,S01,Manuscript or printed volume 0033,19,1898,laid_paper,pigment,paper_boards,wood,Greek,scroll,False,3,True,BNF,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.6625000000000001,0.21875,0.0,25.55,Low,0
